i	val	
0.0	16262.607608662278	
1.0	16823.10492559225	
2.0	18110.47527807757	
3.0	18823.197459679617	
4.0	19357.737248886504	
5.0	19936.45126565614	
6.0	21526.833472624985	
7.0	23789.345344889207	
8.0	26338.046310222653	
9.0	24309.69477368821	
10.0	28207.76577789488	
11.0	30755.909097636348	
12.0	32055.73542133371	
13.0	32572.219149874105	
14.0	32522.205039795303	
15.0	32040.364951036318	
16.0	31197.04329459686	
17.0	29991.591005813996	
18.0	nan	
19.0	26288.85730442326	
