i	val	
0.0	17667.191151275965	
1.0	20070.83153176009	
2.0	22039.517878764873	
3.0	23637.96118999843	
4.0	25115.572377335786	
5.0	26433.08027409296	
6.0	27528.398959924463	
7.0	28356.245207630134	
8.0	28917.725900796748	
9.0	29233.05956859824	
10.0	29308.538831807582	
11.0	29128.781076264866	
12.0	28706.041475073456	
13.0	28174.22436985423	
14.0	27563.897906857903	
15.0	26718.170610458783	
16.0	25524.352691700784	
17.0	21812.30908885069	
18.0	21529.55558906226	
19.0	20453.201835733704	
